Name,Department,Phone,Email,Designation
MR CHUKWUEMEKA PAUL,Administration & Human Resources,08032000161,,Officer
NURSE JOHNSON TOPE,Internal Medicine,08032000162,,Nurse
NURSE ABDULLAHI SULE,Internal Medicine,08032000163,,Nurse
NURSE IKE CHIAMAKA,Internal Medicine,08032000164,,Nurse
NURSE BAMGBOSE LANRE,Internal Medicine,08032000165,,Nurse
NURSE HARUNA AISHA,Internal Medicine,08032000166,,Nurse
NURSE OKAFOR JUDE B,Internal Medicine,08032000167,,Nurse
NURSE OGUNSANYA PEACE,Internal Medicine,08032000168,,Nurse
NURSE BELLO ZAINAB,Internal Medicine,08032000169,,Nurse
NURSE EMEKA BLESSING,Internal Medicine,08032000170,,Nurse
NURSE AINA RUTH,Internal Medicine,08032000171,,Nurse
NURSE SULEIMAN HALIMA,Internal Medicine,08032000172,,Nurse
NURSE CHIDI AMARA,Internal Medicine,08032000173,,Nurse
NURSE AYODELE KUNLE,Surgery,08032000174,,Nurse
NURSE UMEH COLLINS,Surgery,08032000175,,Nurse
NURSE BALA YUSUF,Surgery,08032000176,,Nurse
NURSE OGUNBIYI TAYO,Surgery,08032000177,,Nurse
NURSE EDET SUNDAY,Surgery,08032000178,,Nurse
NURSE MUSA IBRAHIM,Surgery,08032000179,,Nurse
NURSE ADEWALE BLESSING,Surgery,08032000180,,Nurse
NURSE OKON GLORY,Surgery,08032000181,,Nurse
NURSE YUSUF AISHA,Surgery,08032000182,,Nurse
NURSE NNAMANI JOY,Surgery,08032000183,,Nurse
NURSE FADIPE KEMI,Surgery,08032000184,,Nurse
NURSE PETER RUTH,Surgery,08032000185,,Nurse
MIDWIFE ADEWUMI JOY,Obstetrics & Gynaecology,08032000186,,Nurse
NURSE KAREEM LATEEFAT,Obstetrics & Gynaecology,08032000187,,Nurse
MIDWIFE ONUOHA FAITH,Obstetrics & Gynaecology,08032000188,,Nurse
NURSE BALA SAFIYA,Obstetrics & Gynaecology,08032000189,,Nurse
NURSE OJO MARY,Obstetrics & Gynaecology,08032000190,,Nurse
MIDWIFE EKANEM EDIDIONG,Obstetrics & Gynaecology,08032000191,,Nurse
NURSE ADEKUNLE TOLA,Paediatrics,08032000192,,Nurse
NURSE CHUKWU PRECIOUS,Paediatrics,08032000193,,Nurse
NURSE MUSA AMINA,Paediatrics,08032000194,,Nurse
NURSE OBI UGOCHI,Paediatrics,08032000195,,Nurse
NURSE LAWAL KEMI,Paediatrics,08032000196,,Nurse
NURSE PETER DANIEL,Paediatrics,08032000197,,Nurse
